example_id,rate,method,doc_token_index,relative_position,position_bin,token_id,token_text_repr,token_category,selected_times,n_queries
0,0.3,global_top,837,0.7153846153846154,70-80%,8,')',punct_or_symbol,34,34
0,0.3,global_top,840,0.717948717948718,70-80%,220,' ',space,34,34
0,0.3,global_top,868,0.7418803418803419,70-80%,608,' /',punct_or_symbol,34,34
0,0.3,global_top,881,0.752991452991453,70-80%,220,' ',space,34,34
0,0.3,global_top,902,0.770940170940171,70-80%,26,';',punct_or_symbol,34,34
0,0.3,global_top,911,0.7786324786324786,70-80%,62501,' Coordinates',latin_word,34,34
0,0.3,global_top,912,0.7794871794871795,70-80%,25,':',punct_or_symbol,34,34
0,0.3,global_top,913,0.7803418803418803,70-80%,220,' ',space,34,34
0,0.3,global_top,917,0.7837606837606838,70-80%,220,' ',space,34,34
0,0.3,global_top,923,0.7888888888888889,70-80%,16,'1',number,34,34
0,0.3,global_top,931,0.7957264957264957,70-80%,18,'3',number,34,34
0,0.3,global_top,937,0.8008547008547009,80-90%,18,'3',number,34,34
0,0.3,global_top,943,0.805982905982906,80-90%,220,' ',space,34,34
0,0.3,global_top,946,0.8085470085470086,80-90%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,954,0.8153846153846154,80-90%,220,' ',space,34,34
0,0.3,global_top,956,0.8170940170940171,80-90%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,966,0.8256410256410256,80-90%,220,' ',space,34,34
0,0.3,global_top,969,0.8282051282051283,80-90%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,975,0.8333333333333334,80-90%,26,';',punct_or_symbol,34,34
0,0.3,global_top,976,0.8341880341880342,80-90%,220,' ',space,34,34
0,0.3,global_top,984,0.841025641025641,80-90%,17287,' Length',latin_word,34,34
0,0.3,global_top,985,0.8418803418803419,80-90%,220,' ',space,34,34
0,0.3,global_top,988,0.8444444444444444,80-90%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,990,0.8461538461538461,80-90%,13136,' km',latin_word,34,34
0,0.3,global_top,991,0.847008547008547,80-90%,320,' (',punct_or_symbol,34,34
0,0.3,global_top,994,0.8495726495726496,80-90%,9497,' mi',latin_word,34,34
0,0.3,global_top,995,0.8504273504273504,80-90%,8,')',punct_or_symbol,34,34
0,0.3,global_top,996,0.8512820512820513,80-90%,9866,' Location',latin_word,34,34
0,0.3,global_top,997,0.8521367521367521,80-90%,315,' of',latin_word,34,34
0,0.3,global_top,998,0.852991452991453,80-90%,279,' the',latin_word,34,34
