example,source,kind,layer,rank,original_gap,delta_recovery_error,final_kv_error,explained_variance
66,preprocess,v,2,32,0.2205637326423373,0.21539173245985255,0.04750760449164476,0.9536064015879433
66,preprocess,v,2,64,0.2205637326423373,0.16813972110604847,0.037085524492591636,0.9717290341863802
66,preprocess,v,3,4,0.19608513661181876,0.5823579163789241,0.11419173159013546,0.6608592572307981
66,preprocess,v,3,8,0.19608513661181876,0.479259880333404,0.09397573910773943,0.7703099671028113
66,preprocess,v,3,16,0.19608513661181876,0.3951786670680429,0.07748866291811363,0.8438338210943249
66,preprocess,v,3,32,0.19608513661181876,0.31116740460964404,0.06101530304202713,0.9031748463084981
66,preprocess,v,3,64,0.19608513661181876,0.2335480281122154,0.04579529699780465,0.9454553185648958
66,preprocess,v,4,4,0.2152027644040897,0.619711910673866,0.13336371631115626,0.6159571477689464
66,preprocess,v,4,8,0.2152027644040897,0.5244022094247239,0.11285280512781297,0.7250023227504679
66,preprocess,v,4,16,0.2152027644040897,0.42782221681365085,0.09206852373178348,0.8169681508006535
66,preprocess,v,4,32,0.2152027644040897,0.3384325210972686,0.07283161410437762,0.8854634286637468
66,preprocess,v,4,64,0.2152027644040897,0.26252483841136237,0.056496070950862134,0.9310807092170881
66,preprocess,v,5,4,0.2082715532112738,0.6698638488943842,0.13951358424931543,0.5512824239444015
66,preprocess,v,5,8,0.2082715532112738,0.5587703228356137,0.11637596302533815,0.6877757263181841
66,preprocess,v,5,16,0.2082715532112738,0.45541002928534646,0.09484895414725078,0.7926017052263199
66,preprocess,v,5,32,0.2082715532112738,0.35677828468029105,0.07430676750241823,0.8727092555805892
66,preprocess,v,5,64,0.2082715532112738,0.2682790708787657,0.05587489878599794,0.9280263401284262
66,preprocess,v,6,4,0.27440942296460363,0.5840892200188256,0.16027958582521132,0.6588397830578
66,preprocess,v,6,8,0.27440942296460363,0.49671344536105033,0.136302849920286,0.7532757531975549
66,preprocess,v,6,16,0.27440942296460363,0.41737381209299995,0.11453130693697702,0.8257991009789571
66,preprocess,v,6,32,0.27440942296460363,0.3428828102380395,0.09409027410190211,0.8824313784432646
66,preprocess,v,6,64,0.27440942296460363,0.2698632147231019,0.0740530090315393,0.927173845339313
66,preprocess,v,7,4,0.19994516817697788,0.7472703435295982,0.14941309451069354,0.4415870336811562
66,preprocess,v,7,8,0.19994516817697788,0.6906129510857546,0.1380847226500402,0.5230537517926251
66,preprocess,v,7,16,0.19994516817697788,0.6266197977255717,0.12528960083926333,0.6073476290983635
66,preprocess,v,7,32,0.19994516817697788,0.5490223435782148,0.10977436481966468,0.6985744662518847
66,preprocess,v,7,64,0.19994516817697788,0.46341516070196764,0.09265762224231616,0.7852463888315695
66,preprocess,v,8,4,0.21730203246480514,0.702251629232267,0.1526007063338924,0.5068426492406266
66,preprocess,v,8,8,0.21730203246480514,0.6465055416401356,0.14048696819816117,0.5820305846285949
66,preprocess,v,8,16,0.21730203246480514,0.5805794290953703,0.12616108994968017,0.6629275265112939
66,preprocess,v,8,32,0.21730203246480514,0.506906850838205,0.11015188895747577,0.7430454445732938
66,preprocess,v,8,64,0.21730203246480514,0.42880804477133777,0.09318085966607087,0.8161236607393824
66,preprocess,v,9,4,0.21343282022403595,0.6806646562070813,0.1452761772011012,0.5366956257904959
66,preprocess,v,9,8,0.21343282022403595,0.6116291250828709,0.1305417290975968,0.6259098133503619
66,preprocess,v,9,16,0.21343282022403595,0.5392612647246183,0.11509605256775572,0.7091972883676051
66,preprocess,v,9,32,0.21343282022403595,0.4612981352613145,0.09845616197291115,0.787204030404434
66,preprocess,v,9,64,0.21343282022403595,0.379170055621782,0.08092733431586152,0.8562300689197747
66,preprocess,v,10,4,0.2197373220065814,0.7275123918845405,0.1598616247193115,0.47072571965443466
66,preprocess,v,10,8,0.2197373220065814,0.6677550869036595,0.14673071455248216,0.5541031439142862
66,preprocess,v,10,16,0.2197373220065814,0.6041947455366581,0.1327641353546731,0.6349487094658931
66,preprocess,v,10,32,0.2197373220065814,0.5346714427839555,0.11748727099074148,0.7141264482713234
66,preprocess,v,10,64,0.2197373220065814,0.4549449894969249,0.09996839365236657,0.7930250565316429
66,preprocess,v,11,4,0.24532693658908103,0.7314177985637624,0.17943648788837738,0.4650280039441394
66,preprocess,v,11,8,0.24532693658908103,0.682013654939244,0.16731632067816732,0.5348573744764138
66,preprocess,v,11,16,0.24532693658908103,0.6282847395493378,0.1541351704593077,0.6052582860494208
66,preprocess,v,11,32,0.24532693658908103,0.5687891484306872,0.1395392993496126,0.6764789046274937
66,preprocess,v,11,64,0.24532693658908103,0.4988509875149072,0.12238158458147011,0.7511476922554019
66,preprocess,v,12,4,0.2678827212757553,0.7019809692776195,0.1880485723338811,0.5072227187720538
66,preprocess,v,12,8,0.2678827212757553,0.6411990048262733,0.17176613429216825,0.5888638362097967
66,preprocess,v,12,16,0.2678827212757553,0.5837078408064569,0.156365244825229,0.659285156581064
66,preprocess,v,12,32,0.2678827212757553,0.5159968059838006,0.13822662855653842,0.7337472962145161
66,preprocess,v,12,64,0.2678827212757553,0.44057613892880443,0.11802273502541336,0.8058926658065868
66,preprocess,v,13,4,0.2860327562382574,0.7973913829858613,0.22808005507608184,0.3641669823398955
66,preprocess,v,13,8,0.2860327562382574,0.7538191518278246,0.2156169697024981,0.4317566863375793
