example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
20,1,282,440,440,158,158,351,0.6635160680529301,0.7977272727272727,69,0.2793522267206478,0.43670886075949367
21,0,94,212,212,118,118,152,0.5588235294117647,0.7169811320754716,58,0.3258426966292135,0.4915254237288136
21,1,230,360,360,130,130,278,0.6289592760180995,0.7722222222222223,48,0.22641509433962265,0.36923076923076925
24,0,78,185,185,107,107,138,0.5948275862068966,0.745945945945946,60,0.38961038961038963,0.5607476635514018
24,1,237,365,365,128,128,293,0.6704805491990846,0.8027397260273973,56,0.28,0.4375
25,0,89,158,158,69,69,126,0.6631578947368421,0.7974683544303798,37,0.36633663366336633,0.5362318840579711
25,1,129,214,214,85,85,177,0.7051792828685259,0.8271028037383178,48,0.39344262295081966,0.5647058823529412
26,0,177,283,283,106,106,233,0.6996996996996997,0.823321554770318,56,0.358974358974359,0.5283018867924528
27,0,94,190,190,96,96,142,0.5966386554621849,0.7473684210526316,48,0.3333333333333333,0.5
27,1,181,280,280,99,99,226,0.6766467065868264,0.8071428571428572,45,0.29411764705882354,0.45454545454545453
32,0,99,201,201,102,102,156,0.6341463414634146,0.7761194029850746,57,0.3877551020408163,0.5588235294117647
32,1,197,316,316,119,119,252,0.6631578947368421,0.7974683544303798,55,0.3005464480874317,0.46218487394957986
33,0,92,158,158,66,66,124,0.6458333333333334,0.7848101265822784,32,0.32,0.48484848484848486
35,0,77,164,164,87,87,124,0.6078431372549019,0.7560975609756098,47,0.3700787401574803,0.5402298850574713
35,1,186,272,272,86,86,231,0.7380191693290735,0.8492647058823529,45,0.3543307086614173,0.5232558139534884
36,0,102,202,202,100,100,156,0.6290322580645161,0.7722772277227723,54,0.3698630136986301,0.54
36,1,216,336,336,120,120,263,0.6430317848410758,0.7827380952380952,47,0.24352331606217617,0.39166666666666666
37,0,42,127,127,85,85,85,0.5029585798816568,0.6692913385826772,43,0.33858267716535434,0.5058823529411764
37,1,139,257,257,118,118,199,0.6317460317460317,0.77431906614786,60,0.3409090909090909,0.5084745762711864
38,0,56,124,124,68,68,92,0.5897435897435898,0.7419354838709677,36,0.36,0.5294117647058824
38,1,148,227,227,79,79,194,0.7461538461538462,0.8546255506607929,46,0.4107142857142857,0.5822784810126582
39,0,73,159,159,86,86,127,0.6649214659685864,0.7987421383647799,54,0.4576271186440678,0.627906976744186
39,1,197,298,298,101,101,254,0.7426900584795322,0.8523489932885906,57,0.3931034482758621,0.5643564356435643
40,0,92,172,172,80,80,133,0.6303317535545023,0.7732558139534884,41,0.3445378151260504,0.5125
40,1,194,300,300,106,106,247,0.6997167138810199,0.8233333333333334,53,0.3333333333333333,0.5
43,0,52,118,118,66,66,87,0.5838926174496645,0.7372881355932204,35,0.36082474226804123,0.5303030303030303
43,1,211,290,290,79,79,246,0.7365269461077845,0.8482758620689655,35,0.2845528455284553,0.4430379746835443
44,0,112,187,187,75,75,155,0.7077625570776256,0.8288770053475936,43,0.40186915887850466,0.5733333333333334
44,1,110,195,195,85,85,155,0.6595744680851063,0.7948717948717948,45,0.36,0.5294117647058824
44,2,187,294,294,107,107,228,0.6333333333333333,0.7755102040816326,41,0.23699421965317918,0.38317757009345793
45,0,106,209,209,103,103,158,0.6076923076923076,0.7559808612440191,52,0.33766233766233766,0.5048543689320388
45,1,281,406,406,125,125,331,0.6881496881496881,0.8152709359605911,50,0.25,0.4
46,0,102,210,210,108,108,157,0.596958174904943,0.7476190476190476,55,0.3416149068322981,0.5092592592592593
46,1,205,335,335,130,130,273,0.6876574307304786,0.8149253731343283,68,0.3541666666666667,0.5230769230769231
50,0,129,238,238,109,109,182,0.6190476190476191,0.7647058823529411,53,0.3212121212121212,0.48623853211009177
50,1,187,310,310,123,123,234,0.6062176165803109,0.7548387096774194,47,0.23618090452261306,0.3821138211382114
50,2,187,310,310,123,123,234,0.6062176165803109,0.7548387096774194,47,0.23618090452261306,0.3821138211382114
50,3,263,431,431,168,168,318,0.5845588235294118,0.7378190255220418,55,0.19572953736654805,0.3273809523809524
51,0,73,157,157,84,84,124,0.6526315789473685,0.7898089171974523,51,0.4358974358974359,0.6071428571428571
51,1,172,283,283,111,111,227,0.6696165191740413,0.8021201413427562,55,0.32934131736526945,0.4954954954954955
52,0,117,201,201,84,84,167,0.7106382978723405,0.8308457711442786,50,0.423728813559322,0.5952380952380952
52,1,94,195,195,101,101,153,0.6455696202531646,0.7846153846153846,59,0.4125874125874126,0.5841584158415841
52,2,203,326,326,123,123,269,0.7023498694516971,0.8251533742331288,66,0.36666666666666664,0.5365853658536586
53,0,149,250,250,101,101,201,0.6722408026755853,0.804,52,0.3466666666666667,0.5148514851485149
54,0,77,159,159,82,82,128,0.6736842105263158,0.8050314465408805,51,0.45132743362831856,0.6219512195121951
54,1,186,311,311,125,125,259,0.7134986225895317,0.8327974276527331,73,0.4124293785310734,0.584
55,0,175,286,286,111,111,242,0.7333333333333333,0.8461538461538461,67,0.432258064516129,0.6036036036036037
56,0,147,237,237,90,90,192,0.6808510638297872,0.810126582278481,45,0.3333333333333333,0.5
57,0,121,205,205,84,84,161,0.6465863453815262,0.7853658536585366,40,0.3125,0.47619047619047616
58,0,98,180,180,82,82,143,0.6589861751152074,0.7944444444444444,45,0.37815126050420167,0.5487804878048781
58,1,179,267,267,88,88,226,0.7337662337662337,0.846441947565543,47,0.3643410852713178,0.5340909090909091
59,0,65,156,156,91,91,104,0.5,0.6666666666666666,39,0.2727272727272727,0.42857142857142855
59,1,192,291,291,99,99,251,0.7583081570996979,0.8625429553264605,59,0.4244604316546763,0.5959595959595959
60,0,120,213,213,93,93,178,0.717741935483871,0.8356807511737089,58,0.453125,0.6236559139784946
60,1,189,320,320,131,131,266,0.7112299465240641,0.83125,77,0.41621621621621624,0.5877862595419847
63,0,99,199,199,100,100,154,0.6311475409836066,0.7738693467336684,55,0.3793103448275862,0.55
63,1,162,232,232,70,70,198,0.7443609022556391,0.853448275862069,36,0.34615384615384615,0.5142857142857142
64,0,71,147,147,76,76,114,0.6333333333333333,0.7755102040816326,43,0.3944954128440367,0.5657894736842105
64,1,175,260,260,85,85,219,0.7275747508305648,0.8423076923076923,44,0.3492063492063492,0.5176470588235295
66,0,141,254,254,113,113,209,0.6989966555183946,0.8228346456692913,68,0.43037974683544306,0.6017699115044248
68,0,82,158,158,76,76,124,0.6458333333333334,0.7848101265822784,42,0.38181818181818183,0.5526315789473685
68,1,139,220,220,81,81,182,0.7054263565891473,0.8272727272727273,43,0.36134453781512604,0.5308641975308642
71,0,79,189,189,110,110,126,0.5,0.6666666666666666,47,0.27167630057803466,0.42727272727272725
71,1,283,439,439,156,156,360,0.694980694980695,0.8200455580865603,77,0.3276595744680851,0.4935897435897436
72,0,97,202,202,105,105,151,0.5968379446640316,0.7475247524752475,54,0.34615384615384615,0.5142857142857142
