example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
114,0,93,207,207,114,114,133,0.47330960854092524,0.642512077294686,40,0.2127659574468085,0.3508771929824561
114,1,231,326,326,95,95,294,0.8212290502793296,0.901840490797546,63,0.49606299212598426,0.6631578947368421
117,0,92,187,187,95,95,135,0.5648535564853556,0.7219251336898396,43,0.2925170068027211,0.45263157894736844
117,1,193,272,272,79,79,243,0.8073089700996677,0.8933823529411765,50,0.46296296296296297,0.6329113924050633
118,0,151,246,246,95,95,206,0.7202797202797203,0.8373983739837398,55,0.4074074074074074,0.5789473684210527
119,0,91,198,198,107,107,155,0.6431535269709544,0.7828282828282829,64,0.4266666666666667,0.5981308411214953
119,1,209,295,295,86,86,259,0.7824773413897281,0.8779661016949153,50,0.4098360655737705,0.5813953488372093
120,0,198,338,338,140,140,252,0.5943396226415094,0.7455621301775148,54,0.23893805309734514,0.38571428571428573
121,0,91,208,208,117,117,139,0.5018050541516246,0.6682692307692307,48,0.25806451612903225,0.41025641025641024
121,1,251,378,378,127,127,319,0.7299771167048055,0.843915343915344,68,0.3655913978494624,0.5354330708661418
123,0,137,260,260,123,123,183,0.543026706231454,0.7038461538461539,46,0.23,0.37398373983739835
123,1,167,272,272,105,105,212,0.6385542168674698,0.7794117647058824,45,0.2727272727272727,0.42857142857142855
123,2,238,344,344,106,106,293,0.7417721518987341,0.8517441860465116,55,0.3503184713375796,0.5188679245283019
123,3,326,443,443,117,117,383,0.7614314115308151,0.8645598194130926,57,0.3220338983050847,0.48717948717948717
125,0,200,338,338,138,138,250,0.5868544600938967,0.7396449704142012,50,0.22123893805309736,0.36231884057971014
126,0,77,172,172,95,95,121,0.5426008968609866,0.7034883720930233,44,0.3013698630136986,0.4631578947368421
126,1,194,299,299,105,105,238,0.6611111111111111,0.7959866220735786,44,0.26506024096385544,0.41904761904761906
127,0,120,196,196,76,76,166,0.7345132743362832,0.8469387755102041,46,0.4339622641509434,0.6052631578947368
128,0,181,294,294,113,113,240,0.6896551724137931,0.8163265306122449,59,0.3532934131736527,0.5221238938053098
129,0,209,333,333,124,124,270,0.6818181818181818,0.8108108108108109,61,0.32620320855614976,0.49193548387096775
130,0,63,138,138,75,75,102,0.5862068965517241,0.7391304347826086,39,0.35135135135135137,0.52
130,1,199,301,301,102,102,261,0.7653958944281525,0.867109634551495,62,0.43661971830985913,0.6078431372549019
131,0,78,154,154,76,76,119,0.6296296296296297,0.7727272727272727,41,0.36936936936936937,0.5394736842105263
131,1,185,274,274,89,89,225,0.6965944272445821,0.8211678832116789,40,0.2898550724637681,0.449438202247191
133,0,113,202,202,89,89,153,0.6095617529880478,0.7574257425742574,40,0.2898550724637681,0.449438202247191
133,1,187,283,283,96,96,253,0.8083067092651757,0.8939929328621908,66,0.5238095238095238,0.6875
135,0,88,175,175,87,87,123,0.5418502202643172,0.7028571428571428,35,0.2517985611510791,0.40229885057471265
135,1,223,317,317,94,94,271,0.7465564738292011,0.8548895899053628,48,0.34285714285714286,0.5106382978723404
136,0,65,133,133,68,68,102,0.6219512195121951,0.7669172932330827,37,0.37373737373737376,0.5441176470588235
136,1,168,271,271,103,103,231,0.7427652733118971,0.8523985239852399,63,0.4405594405594406,0.6116504854368932
138,0,104,207,207,103,103,146,0.5447761194029851,0.7053140096618358,42,0.25609756097560976,0.4077669902912621
138,1,295,420,420,125,125,353,0.7248459958932238,0.8404761904761905,58,0.3020833333333333,0.464
141,0,87,166,166,79,79,134,0.6767676767676768,0.8072289156626506,47,0.42342342342342343,0.5949367088607594
141,1,214,315,315,101,101,272,0.7597765363128491,0.8634920634920635,58,0.4027777777777778,0.5742574257425742
142,0,123,243,243,120,120,172,0.5477707006369427,0.7078189300411523,49,0.25654450261780104,0.4083333333333333
142,1,238,396,396,158,158,300,0.6097560975609756,0.7575757575757576,62,0.2440944881889764,0.3924050632911392
143,0,87,177,177,90,90,126,0.5526315789473685,0.711864406779661,39,0.2765957446808511,0.43333333333333335
