part,example,target,source,kind,context_index,prefix_tokens,layer,rank,original_gap,delta_norm2,base_norm2,error_norm2,prediction_norm2,target_prediction_dot,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t3,0,3,preprocess,k,43,742,27,4,0.15220358014101817,6055.76806640625,261408.375,1939.36376953125,4325.884765625,4221.14404296875,0.5659069430277773,0.08613306275548692,0.6797493318329559,0.8247229544244038
t3,0,3,preprocess,k,43,742,27,8,0.15220358014101817,6055.76806640625,261408.375,1607.94482421875,4466.34130859375,4457.08251953125,0.5152890981489696,0.07842884554590968,0.7344771453288216,0.8570183168602181
t3,0,3,preprocess,k,43,742,27,16,0.15220358014101817,6055.76806640625,261408.375,1120.6624755859375,5036.38671875,4985.74609375,0.4301825586572801,0.06547532554186158,0.8149429662270757,0.902788474329119
t3,0,3,preprocess,k,43,742,27,32,0.15220358014101817,6055.76806640625,261408.375,968.4505615234375,5192.06298828125,5139.6904296875,0.39990249241033704,0.06086659105216965,0.8400779965640003,0.9166053095907423
t3,0,3,preprocess,k,44,495,27,0,0.162007014483677,6862.2294921875,261455.390625,3666.38037109375,3501.54052734375,3348.69482421875,0.7309474251314795,0.11841861009008199,0.4657158616936602,0.6831457537888064
t3,0,3,preprocess,k,44,495,27,1,0.162007014483677,6862.2294921875,261455.390625,2737.56005859375,3729.9658203125,3927.31787109375,0.6316103076436822,0.10232530025846971,0.6010684192782532,0.7762667936487179
t3,0,3,preprocess,k,44,495,27,2,0.162007014483677,6862.2294921875,261455.390625,2737.5576171875,3729.5419921875,3927.107177734375,0.6316100260027934,0.10232525463067015,0.6010687750527507,0.7762692525364979
t3,0,3,preprocess,k,44,495,27,4,0.162007014483677,6862.2294921875,261455.390625,2172.015625,4679.0654296875,4684.6396484375,0.5625988674678993,0.09114496287037224,0.683482514323837,0.8267305982182708
t3,0,3,preprocess,k,44,495,27,8,0.162007014483677,6862.2294921875,261455.390625,2018.7376708984375,4626.3271484375,4734.9091796875,0.5423845682856459,0.0878701046099755,0.7058189800855936,0.8403512762998747
t3,0,3,preprocess,k,44,495,27,16,0.162007014483677,6862.2294921875,261455.390625,1816.017333984375,4736.8583984375,4891.53515625,0.5144312892282606,0.08334147732485946,0.7353604486629497,0.8579606292421837
t3,0,3,preprocess,k,44,495,27,32,0.162007014483677,6862.2294921875,261455.390625,1757.409423828125,4861.46923828125,4983.14453125,0.5060621502370637,0.08198561810309671,0.7439011000974396,0.8627542227710051
t3,0,3,preprocess,k,45,1003,27,0,0.1681526009263401,7390.7783203125,261386.40625,2534.41943359375,3501.54052734375,4178.94970703125,0.5855906811417995,0.0984685961122207,0.6570835541598833,0.821471456627882
t3,0,3,preprocess,k,45,1003,27,1,0.1681526009263401,7390.7783203125,261386.40625,1862.7275390625,4768.822265625,5148.4365234375,0.502029895204573,0.0844176326214269,0.7479659843208855,0.8672108566762192
t3,0,3,preprocess,k,45,1003,27,2,0.1681526009263401,7390.7783203125,261386.40625,1823.7100830078125,4757.0126953125,5162.0400390625,0.49674420749156845,0.0835288304848008,0.7532451923235737,0.8705808813520497
t3,0,3,preprocess,k,45,1003,27,4,0.1681526009263401,7390.7783203125,261386.40625,1683.4107666015625,4875.5234375,5291.4453125,0.47725442320090733,0.0802515725648328,0.7722282155351693,0.881492455583007
t3,0,3,preprocess,k,45,1003,27,8,0.1681526009263401,7390.7783203125,261386.40625,1411.968505859375,5575.36376953125,5777.0869140625,0.43708652403351206,0.07349723584608832,0.8089553705083021,0.8999682930443104
t3,0,3,preprocess,k,45,1003,27,16,0.1681526009263401,7390.7783203125,261386.40625,1259.283447265625,5764.111328125,5947.802734375,0.412778111038766,0.06940971297663012,0.8296142310472682,0.9112662544974998
t3,0,3,preprocess,k,45,1003,27,32,0.1681526009263401,7390.7783203125,261386.40625,768.6661376953125,6355.662109375,6488.88720703125,0.32249559473547923,0.054228473042057745,0.8959965913762096,0.9467705420873017
