target,source,kind,layer,rank,subspace_overlap
2,preprocess,k,11,1,0.03426864743232727
2,preprocess,k,11,2,0.4510129392147064
2,preprocess,k,11,4,0.32855939865112305
2,preprocess,k,11,8,0.2554011940956116
2,preprocess,k,11,16,0.15252143144607544
2,preprocess,k,11,32,0.08409088850021362
2,preprocess,k,12,1,0.01285755168646574
2,preprocess,k,12,2,0.433564156293869
2,preprocess,k,12,4,0.35050106048583984
2,preprocess,k,12,8,0.2633882761001587
2,preprocess,k,12,16,0.1613551825284958
2,preprocess,k,12,32,0.0891384407877922
2,preprocess,k,13,1,0.19751982390880585
2,preprocess,k,13,2,0.4082306921482086
2,preprocess,k,13,4,0.33965009450912476
2,preprocess,k,13,8,0.25586414337158203
2,preprocess,k,13,16,0.15827247500419617
2,preprocess,k,13,32,0.08856075257062912
2,preprocess,k,14,1,0.0031387144699692726
2,preprocess,k,14,2,0.4172153174877167
2,preprocess,k,14,4,0.3220974802970886
2,preprocess,k,14,8,0.24021649360656738
2,preprocess,k,14,16,0.14487974345684052
2,preprocess,k,14,32,0.07991725951433182
2,preprocess,k,15,1,0.03033897466957569
2,preprocess,k,15,2,0.4155879616737366
2,preprocess,k,15,4,0.35928723216056824
2,preprocess,k,15,8,0.258949875831604
2,preprocess,k,15,16,0.1571579873561859
