example,target,source,kind,rank,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy
4,4,preprocess,k,1,0.4180758915903939,0.8596471503163539,0.35939774882165104,0.26100677695297214
4,4,preprocess,k,2,0.4180758915903939,0.8192931393014237,0.3425267096873355,0.3287587518936179
4,4,preprocess,k,4,0.4180758915903939,0.7704996436231649,0.32212732547783546,0.4063302991765758
4,4,preprocess,k,8,0.4180758915903939,0.7127246520736261,0.2979729943741345,0.49202357032652866
4,4,preprocess,k,16,0.4180758915903939,0.6226206674132813,0.2603026906514137,0.6123435045098402
4,4,preprocess,k,32,0.4180758915903939,0.5040293088855013,0.210722502699996,0.7459544557844039
4,4,preprocess,k,64,0.4180758915903939,0.34761640096050034,0.14533003676300504,0.8791628377832686
4,5,preprocess,k,1,0.4313397760950794,0.8599249219669192,0.37091982329978956,0.26052912858018795
4,5,preprocess,k,2,0.4313397760950794,0.8207185663834882,0.35400856266092834,0.3264210347934319
4,5,preprocess,k,4,0.4313397760950794,0.775889525061288,0.33467201401445346,0.3979954449001689
4,5,preprocess,k,8,0.4313397760950794,0.7193932657183667,0.31030293015926824,0.4824733292390635
4,5,preprocess,k,16,0.4313397760950794,0.633162091494165,0.27310799477698533,0.5991057658947346
4,5,preprocess,k,32,0.4313397760950794,0.515980392058317,0.2225628667798858,0.7337642350113454
4,5,preprocess,k,64,0.4313397760950794,0.3604529442935551,0.15547769228439418,0.8700736749501072
4,6,preprocess,k,1,0.21251581571005806,0.9513665351112569,0.20218043524842036,0.09490171587040153
4,6,preprocess,k,2,0.21251581571005806,0.9036585337122924,0.19204173041522282,0.1834012544489496
4,6,preprocess,k,4,0.21251581571005806,0.8437098901703581,0.1793016955321972,0.2881536212287221
4,6,preprocess,k,8,0.21251581571005806,0.7555701846740093,0.16057061412219628,0.4291136960316836
4,6,preprocess,k,16,0.21251581571005806,0.652539157859592,0.13867489141528555,0.5741926474598944
4,6,preprocess,k,32,0.21251581571005806,0.5198324900563676,0.11047262565691959,0.7297741822817965
4,6,preprocess,k,64,0.21251581571005806,0.3567890299624581,0.07582331173887213,0.8727015880984481
4,7,preprocess,k,1,0.3706148874589802,0.8920974691555148,0.33062460313351216,0.2041621055263254
4,7,preprocess,k,2,0.3706148874589802,0.8463128478182298,0.31365614084924226,0.28375456361779783
4,7,preprocess,k,4,0.3706148874589802,0.78760598318803,0.2918985028212512,0.3796768152464166
4,7,preprocess,k,8,0.3706148874589802,0.718691169221991,0.2663576467989711,0.4834830032823274
4,7,preprocess,k,16,0.3706148874589802,0.6215241192292368,0.23034609150118537,0.6137077692163215
4,7,preprocess,k,32,0.3706148874589802,0.5015439898050605,0.1858796693373304,0.7484536262904213
4,7,preprocess,k,64,0.3706148874589802,0.34581534956904547,0.1281643168621197,0.8804117440024388
4,8,preprocess,k,1,0.3795032186096284,0.9102818809712404,0.3454549036706124,0.17138689717546052
4,8,preprocess,k,2,0.3795032186096284,0.8645673821296314,0.3281061042230956,0.25252324175751606
4,8,preprocess,k,4,0.3795032186096284,0.7964963900870489,0.30227294364898516,0.36559350057829965
4,8,preprocess,k,8,0.3795032186096284,0.7300316313886114,0.27704935379881585,0.4670538171720826
4,8,preprocess,k,16,0.3795032186096284,0.6405771790489161,0.24310110121693987,0.5896608776817329
4,8,preprocess,k,32,0.3795032186096284,0.5173527950761807,0.19633705088809808,0.7323460854268634
4,8,preprocess,k,64,0.3795032186096284,0.35733221146956756,0.13560872436559723,0.8723136906462683
4,9,preprocess,k,1,0.3928612608561508,0.8747075720420858,0.3436387196328762,0.23488666341223918
4,9,preprocess,k,2,0.3928612608561508,0.8252828835420021,0.32422167419131076,0.3189081621325982
4,9,preprocess,k,4,0.3928612608561508,0.7600376189447723,0.2985893372767499,0.42234281778876104
4,9,preprocess,k,8,0.3928612608561508,0.6948046275521993,0.2729618220288453,0.5172465295320496
4,9,preprocess,k,16,0.3928612608561508,0.6038064603114388,0.2372121673110412,0.6354177584861709
4,9,preprocess,k,32,0.3928612608561508,0.48534056828306305,0.1906715076003249,0.7644445327786734
4,9,preprocess,k,64,0.3928612608561508,0.3346957860748367,0.13148900852060086,0.8879787307837472
4,10,preprocess,k,1,0.17821612252159255,0.9689616073770306,0.17268458053902416,0.061113403429321034
4,10,preprocess,k,2,0.17821612252159255,0.9264753526337453,0.1651128449582112,0.1416434209621774
4,10,preprocess,k,4,0.17821612252159255,0.8674769849869369,0.15459838464109366,0.24748368051797354
4,10,preprocess,k,8,0.17821612252159255,0.7879811976893474,0.140430953672116,0.37908563208806156
4,10,preprocess,k,16,0.17821612252159255,0.6527515916423096,0.1163308576322904,0.5739153596084315
4,10,preprocess,k,32,0.17821612252159255,0.4965200876832154,0.08848788478098381,0.753467802527052
4,10,preprocess,k,64,0.17821612252159255,0.33750504688056004,0.06014884078652173,0.8860903433301509
6,4,preprocess,k,1,0.4654748727763983,0.8544274379824937,0.3977145029915652,0.269953753222672
6,4,preprocess,k,2,0.4654748727763983,0.8155835599569249,0.3796336538094716,0.3348234567279892
6,4,preprocess,k,4,0.4654748727763983,0.7737128169060459,0.3601438750148105,0.4013684769553115
6,4,preprocess,k,8,0.4654748727763983,0.7176676971287597,0.33405628001674015,0.48495307649790287
6,4,preprocess,k,16,0.4654748727763983,0.6353143175230479,0.29572285112206503,0.5963757179502239
6,4,preprocess,k,32,0.4654748727763983,0.5180114389447212,0.24112130863951312,0.7316641491224194
6,4,preprocess,k,64,0.4654748727763983,0.3580412921196403,0.16665922489808685,0.8718064331372983
6,5,preprocess,k,1,0.39976456104115116,0.8589942795873285,0.34339547111608826,0.26212882763624634
6,5,preprocess,k,2,0.39976456104115116,0.8192145905681224,0.3274929611969718,0.32888745460030366
6,5,preprocess,k,4,0.39976456104115116,0.7706854867157807,0.30809274529772,0.4060438805656601
6,5,preprocess,k,8,0.39976456104115116,0.7097734269624149,0.2837422624683033,0.49622168237802955
6,5,preprocess,k,16,0.39976456104115116,0.6169579925887407,0.24663794108806772,0.6193628353808713
6,5,preprocess,k,32,0.39976456104115116,0.4986263263148165,0.1993331344628044,0.7513717867057901
6,5,preprocess,k,64,0.39976456104115116,0.3431662159624092,0.1371856916883654,0.8822369482220411
6,6,preprocess,k,1,0.42028999708853776,0.8746657732531502,0.36761327529401017,0.2349597850994688
6,6,preprocess,k,2,0.42028999708853776,0.8320771960050682,0.3497137222864088,0.30764753988834326
6,6,preprocess,k,4,0.42028999708853776,0.7828570233129502,0.3290269760489412,0.38713488104958704
6,6,preprocess,k,8,0.42028999708853776,0.7234521314899117,0.30405969423759144,0.47661701344270346
6,6,preprocess,k,16,0.42028999708853776,0.6412045048491241,0.26949183947619565,0.5888567829611897
6,6,preprocess,k,32,0.42028999708853776,0.5224083453892715,0.21956300196268477,0.7270895206676435
