example_id,sub_q_idx,doc_rank,chunk_id,kind,doc_len,full_prompt_len,token,layer0_delta_l2,layer0_base_l2,layer0_relative_l2,layer0_energy_share
0,0,1,2,value,92,968,54,117.55326843261719,598.2116088867188,0.19650783549885545,0.003689629312204054
0,0,1,2,value,92,968,55,137.41482543945312,508.8053894042969,0.27007344713926174,0.005041740705285197
0,0,1,2,value,92,968,56,75.00150299072266,485.332275390625,0.1545364007171308,0.0015019423904537167
0,0,1,2,value,92,968,57,69.79560089111328,550.6516723632812,0.12675091059210825,0.0013006768832701141
0,0,1,2,value,92,968,58,60.90676498413086,494.71337890625,0.12311525740174653,0.0009904770079738928
0,0,1,2,value,92,968,59,67.35661315917969,457.1700439453125,0.14733382917634222,0.0012113616982719411
0,0,1,2,value,92,968,60,80.51464080810547,683.5363159179688,0.11779131398450512,0.0017308644318059392
0,0,1,2,value,92,968,61,59.81297302246094,608.9657592773438,0.09822058483787423,0.0009552215628292043
0,0,1,2,value,92,968,62,69.89202880859375,530.2144165039062,0.131818424081041,0.0013042733174047048
0,0,1,2,value,92,968,63,117.41161346435547,369.7103271484375,0.31757731619223817,0.0036807426546114257
0,0,1,2,value,92,968,64,151.07354736328125,477.8177185058594,0.31617401681061424,0.006093827930996458
0,0,1,2,value,92,968,65,601.2742309570312,491.911376953125,1.222322270083065,0.09652915366871097
0,0,1,2,value,92,968,66,638.4458618164062,527.079345703125,1.2112898504203704,0.10883322312855805
0,0,1,2,value,92,968,67,117.90066528320312,472.6340637207031,0.24945443913851015,0.0037114689211853627
0,0,1,2,value,92,968,68,397.1880798339844,438.5452575683594,0.9056946186952455,0.0421216868980206
0,0,1,2,value,92,968,69,97.48503112792969,433.2751159667969,0.22499568411724807,0.0025374014861257463
0,0,1,2,value,92,968,70,140.033203125,367.55029296875,0.38099059041399147,0.005235707743110333
0,0,1,2,value,92,968,71,158.75393676757812,348.1790771484375,0.45595484389171625,0.006729183012150828
0,0,1,2,value,92,968,72,149.72164916992188,568.83349609375,0.2632082150542798,0.005985253323631842
0,0,1,2,value,92,968,73,220.44105529785156,558.5497436523438,0.39466682744564924,0.012974728679981753
0,0,1,2,value,92,968,74,265.9686279296875,597.8824462890625,0.44485103983316693,0.018887486464704235
0,0,1,2,value,92,968,75,140.8693084716797,655.9026489257812,0.21477167183634832,0.005298416538105554
0,0,1,2,value,92,968,76,139.49488830566406,643.9674682617188,0.2166179118988832,0.005195530830903955
0,0,1,2,value,92,968,77,147.7177734375,628.3780517578125,0.2350778691653487,0.005826112221335778
0,0,1,2,value,92,968,78,130.11964416503906,534.8677368164062,0.24327443068360372,0.004520630879618338
0,0,1,2,value,92,968,79,90.76627349853516,496.72998046875,0.1827275925904078,0.0021996944174606284
0,0,1,2,value,92,968,80,131.76815795898438,500.2792663574219,0.2633892044305571,0.004635902421247641
0,0,1,2,value,92,968,81,112.84425354003906,398.94012451171875,0.282860125133199,0.0033999475329983537
0,0,1,2,value,92,968,82,72.35196685791016,546.3805541992188,0.1324204646410776,0.001397700165555808
0,0,1,2,value,92,968,83,109.18980407714844,434.6364440917969,0.2512210045002275,0.0031832994671422226
