base_method,example_id,sub_q_idx,doc_len,num_chunks,online_selected,base_selected,residual_size,residual_mapped,nonempty_chunks,nonempty_chunk_frac,top1_chunk_frac,top2_chunk_frac,top3_chunk_frac,entropy_norm,chunks_for_50pct,chunks_for_70pct,chunks_for_80pct,chunks_for_90pct,chunks_for_95pct
freq,130,0,978,11,170,106,71,71,10,0.9090909090909091,0.39436619718309857,0.5774647887323944,0.7323943661971831,0.743618706205488,2,3,4,6,7
freq,112,0,852,11,153,114,66,66,7,0.6363636363636364,0.45454545454545453,0.7424242424242424,0.9242424242424242,0.5518209046944614,2,2,3,3,4
freq,38,0,837,11,149,87,68,68,8,0.7272727272727273,0.4117647058823529,0.5735294117647058,0.6764705882352942,0.7348427610390916,2,4,5,6,7
freq,158,0,1429,11,239,130,131,131,9,0.8181818181818182,0.35877862595419846,0.5877862595419847,0.6946564885496184,0.7569413906674969,2,4,5,6,8
freq,82,1,1679,13,283,225,216,216,10,0.7692307692307693,0.39351851851851855,0.5648148148148148,0.7222222222222222,0.6964413540561424,2,3,4,6,7
freq,10,0,1534,11,254,161,98,98,10,0.9090909090909091,0.29591836734693877,0.45918367346938777,0.6122448979591837,0.8413370800027951,3,4,5,7,9
freq,57,0,1193,12,201,179,82,82,6,0.5,0.3780487804878049,0.6951219512195121,0.9024390243902439,0.546085593630767,2,3,3,3,4
freq,130,1,1507,13,250,273,122,122,9,0.6923076923076923,0.39344262295081966,0.6311475409836066,0.8032786885245902,0.5983114484303418,2,3,3,4,5
freq,112,1,1187,13,201,219,103,103,5,0.38461538461538464,0.4174757281553398,0.6796116504854369,0.8446601941747572,0.5492145239101675,2,3,3,4,5
freq,10,1,1766,13,288,306,133,133,6,0.46153846153846156,0.38345864661654133,0.5939849624060151,0.7894736842105263,0.5881000153417545,2,3,4,4,5
freq,158,1,1151,13,196,271,102,102,6,0.46153846153846156,0.43137254901960786,0.7058823529411765,0.9019607843137255,0.5291322766988319,2,2,3,3,4
freq,38,1,1022,13,178,213,99,99,4,0.3076923076923077,0.48484848484848486,0.7878787878787878,0.98989898989899,0.42196138881523065,2,2,3,3,3
freq,58,0,1168,11,196,159,82,82,7,0.6363636363636364,0.5487804878048781,0.8536585365853658,0.9390243902439024,0.48096856928329274,1,2,2,3,4
freq,113,0,1483,11,245,158,106,106,8,0.7272727272727273,0.330188679245283,0.5849056603773585,0.7830188679245284,0.6890523831536782,2,3,4,5,6
freq,11,0,1261,11,215,144,96,96,9,0.8181818181818182,0.3229166666666667,0.5833333333333334,0.71875,0.7640495332012411,2,3,5,7,8
freq,39,0,1003,11,182,125,72,72,9,0.8181818181818182,0.5277777777777778,0.6944444444444444,0.7777777777777778,0.6309828038642252,1,3,4,5,6
freq,131,0,1003,11,174,128,73,73,5,0.45454545454545453,0.3835616438356164,0.7397260273972602,0.958904109589041,0.5109708742969644,2,2,3,3,3
freq,113,1,1357,13,225,293,99,99,5,0.38461538461538464,0.3838383838383838,0.6565656565656566,0.9191919191919192,0.5094676549194079,2,3,3,3,4
freq,160,0,1118,11,190,149,87,87,9,0.8181818181818182,0.3103448275862069,0.5632183908045977,0.6781609195402298,0.7628921282991126,2,4,5,6,7
freq,11,1,1235,13,210,270,78,78,5,0.38461538461538464,0.38461538461538464,0.6794871794871795,0.8846153846153846,0.5384082585036729,2,3,3,4,5
freq,58,1,1211,13,206,249,103,103,6,0.46153846153846156,0.42718446601941745,0.7087378640776699,0.970873786407767,0.47024364699975524,2,2,3,3,3
freq,84,0,1307,11,223,127,113,113,10,0.9090909090909091,0.2831858407079646,0.46017699115044247,0.5929203539823009,0.8365496686043865,3,4,5,7,8
freq,131,1,1256,13,212,250,63,63,8,0.6153846153846154,0.4444444444444444,0.746031746031746,0.8412698412698413,0.5667823165446797,2,2,3,4,5
freq,39,1,1389,13,237,269,162,162,7,0.5384615384615384,0.4074074074074074,0.6851851851851852,0.8950617283950617,0.5542286370192149,2,3,3,4,5
freq,114,0,1753,11,286,139,172,172,9,0.8181818181818182,0.28488372093023256,0.4476744186046512,0.6046511627906976,0.8218425542551605,3,4,5,7,8
freq,160,1,2010,15,330,316,155,155,13,0.8666666666666667,0.21935483870967742,0.4129032258064516,0.5548387096774193,0.8112060785652276,3,5,6,8,10
freq,12,0,2047,11,337,167,173,173,11,1.0,0.2138728323699422,0.42196531791907516,0.5433526011560693,0.8876543678163392,3,5,6,8,9
freq,59,0,1313,11,219,136,98,98,7,0.6363636363636364,0.42857142857142855,0.7040816326530612,0.8877551020408163,0.5731849344383654,2,2,3,4,4
freq,84,1,1283,13,215,276,97,97,5,0.38461538461538464,0.27835051546391754,0.5463917525773195,0.7938144329896907,0.5641580874204192,2,3,4,4,4
freq,133,0,1233,11,209,161,84,84,7,0.6363636363636364,0.34523809523809523,0.5595238095238095,0.7738095238095238,0.6909841918396845,2,3,4,5,6
freq,12,1,2135,14,349,432,241,241,5,0.35714285714285715,0.4730290456431535,0.8257261410788381,0.966804979253112,0.42572483631351393,2,2,2,3,3
