example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_path
9,14,docgen_draft_smart_mean_score_global,0.15,151,22,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk14_docgen_scores.npz
10,0,docgen_draft_smart_mean_score_global,0.15,186,27,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk00_docgen_scores.npz
10,1,docgen_draft_smart_mean_score_global,0.15,203,30,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk01_docgen_scores.npz
10,2,docgen_draft_smart_mean_score_global,0.15,90,13,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk02_docgen_scores.npz
10,3,docgen_draft_smart_mean_score_global,0.15,310,46,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk03_docgen_scores.npz
10,4,docgen_draft_smart_mean_score_global,0.15,88,13,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk04_docgen_scores.npz
10,5,docgen_draft_smart_mean_score_global,0.15,123,18,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk05_docgen_scores.npz
10,6,docgen_draft_smart_mean_score_global,0.15,89,13,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk06_docgen_scores.npz
10,7,docgen_draft_smart_mean_score_global,0.15,117,17,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk07_docgen_scores.npz
10,8,docgen_draft_smart_mean_score_global,0.15,68,10,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk08_docgen_scores.npz
10,9,docgen_draft_smart_mean_score_global,0.15,231,34,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk09_docgen_scores.npz
10,10,docgen_draft_smart_mean_score_global,0.15,138,20,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk10_docgen_scores.npz
10,11,docgen_draft_smart_mean_score_global,0.15,99,14,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk11_docgen_scores.npz
10,12,docgen_draft_smart_mean_score_global,0.15,122,18,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk12_docgen_scores.npz
10,13,docgen_draft_smart_mean_score_global,0.15,190,28,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk13_docgen_scores.npz
10,14,docgen_draft_smart_mean_score_global,0.15,124,18,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk14_docgen_scores.npz
10,15,docgen_draft_smart_mean_score_global,0.15,57,8,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk15_docgen_scores.npz
10,16,docgen_draft_smart_mean_score_global,0.15,113,16,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example010_chunk16_docgen_scores.npz
11,0,docgen_draft_smart_mean_score_global,0.15,34,5,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example011_chunk00_docgen_scores.npz
11,1,docgen_draft_smart_mean_score_global,0.15,96,14,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example011_chunk01_docgen_scores.npz
11,2,docgen_draft_smart_mean_score_global,0.15,149,22,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example011_chunk02_docgen_scores.npz
11,3,docgen_draft_smart_mean_score_global,0.15,295,44,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example011_chunk03_docgen_scores.npz
11,4,docgen_draft_smart_mean_score_global,0.15,140,21,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example011_chunk04_docgen_scores.npz
