example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_status,status
160,4,docgen_draft_smart_frequency_global,0.2,157,31,32,ok,
160,5,docgen_draft_smart_frequency_global,0.1,198,19,32,ok,
160,5,docgen_draft_smart_frequency_global,0.15,198,29,32,ok,
160,5,docgen_draft_smart_frequency_global,0.2,198,39,32,ok,
160,6,docgen_draft_smart_frequency_global,0.1,109,10,32,ok,
160,6,docgen_draft_smart_frequency_global,0.15,109,16,32,ok,
160,6,docgen_draft_smart_frequency_global,0.2,109,21,32,ok,
160,7,docgen_draft_smart_frequency_global,0.1,52,5,32,ok,
160,7,docgen_draft_smart_frequency_global,0.15,52,7,32,ok,
160,7,docgen_draft_smart_frequency_global,0.2,52,10,32,ok,
160,8,docgen_draft_smart_frequency_global,0.1,84,8,32,ok,
160,8,docgen_draft_smart_frequency_global,0.15,84,12,32,ok,
160,8,docgen_draft_smart_frequency_global,0.2,84,16,32,ok,
160,9,docgen_draft_smart_frequency_global,0.1,65,6,32,ok,
160,9,docgen_draft_smart_frequency_global,0.15,65,9,32,ok,
160,9,docgen_draft_smart_frequency_global,0.2,65,13,32,ok,
160,10,docgen_draft_smart_frequency_global,0.1,127,12,32,ok,
160,10,docgen_draft_smart_frequency_global,0.15,127,19,32,ok,
160,10,docgen_draft_smart_frequency_global,0.2,127,25,32,ok,
160,11,docgen_draft_smart_frequency_global,0.1,317,31,32,ok,
160,11,docgen_draft_smart_frequency_global,0.15,317,47,32,ok,
